Safire Partners,32877,safire.la,100000000000000,-9,Safire Partners
hackhands,200462,hackhands.com,80194,523,HackHands
MOVE Systems,11073838,movesystems.com,7708280,-67,MOVE Systems
MoveeCom Systems,10456252,moveecom.com,100000000000000,,MOVE Systems
Movement Systems,10602218,movementsystems.org,100000000000000,,MOVE Systems
CoreVYO Movement Systems,285152,corevyo.com,100000000000000,3,MOVE Systems
Salesforce,24774,salesforce.com,187,0,salesforce.com
Salesforce Ventures,23525,salesforce.com,187,0,salesforce.com
salesforceiq.com,11149414,salesforceiq.com,23862,1315,salesforce.com
salesforcemarketingcloud.com,11201817,salesforcemarketingcloud.com,270084,613,salesforce.com
Sales Force Europe,81423,salesforceeurope.com,2730529,47,salesforce.com
Sales Force Recruitment,10335181,salesforcejobs.com.au,6399367,39,salesforce.com
SaaS Solutions - salesforce.com Certified Partner,10368989,mysalesforcecrm.com,7007474,-1,salesforce.com
Sales Force Dynamics,10448144,salesforcedynamics.com,22035366,0,salesforce.com
Salesforce Assessments,60905,salesforceassessments.com,100000000000000,-5,salesforce.com
Sales Force Latianamerica Ltda.,10723349,salesforcela.com,100000000000000,0,salesforce.com
Salesforce Mentor,10765491,salesforcementor.com,100000000000000,,salesforce.com
SalesforceCAD,43239,salesforcecad.com,100000000000000,0,salesforce.com
The SalesForce Group,10602398,thesalesforcegroup.com,100000000000000,,salesforce.com
SalesForceXP,10808905,salesforcexp.com,100000000000000,,salesforce.com
AppBuddy,10537830,salesforceappbuddy.com,100000000000000,5,salesforce.com
"SalesForce Recruiters, Inc.",10140170,salesforcerecruiters.com,100000000000000,20,salesforce.com
Sales Force Safety Pty Ltd,10449740,salesforcesafety.com,100000000000000,-4,salesforce.com
2U,18916,2u.com,174857,178,2U
2Ultra Marketing,10960625,2ultra.com,5088158,17,2U
Promo 2U,10831135,promo2u.com.au,5285014,0,2U
2up.es,10028880,2up.es,5908606,-18,2U
2U Laundry,11249927,2ulaundry.com,11828534,,2U
2up Mobile,10399739,2upmobile.com,15459357,2,2U
me-2u.com,10935152,me-2u.com,20873732,-100,2U
2UTVAds,10919980,2utvads.com,21074150,0,2U
Nu 2U PC,10301083,nu2upc.com,100000000000000,-11,2U
2U Business Consulting,10290399,2ubconsulting.com,100000000000000,-6,2U
BeanCounters 2U Pty Ltd,10731156,beancounters2u.com.au,100000000000000,-31,2U
2uo Imagina y Crea,10374061,2uo.mx,100000000000000,,2U
TUIUIU,10763961,2u-u.com,100000000000000,,2U
Chiropractic 2U,10849811,chiropractic2u.co.uk,100000000000000,,2U
2 under entertainment,940,2underentertainment.com,100000000000000,-20,2U
A Song 2u,98447,asong2u.com,100000000000000,-14,2U
Sabbatical / Extended Leave,10684964,2unowtechnologies.com,100000000000000,,2U
2U Group Portugal;2U Group Mozambique;Purple Cow,10684499,2ugroup.co.mz,100000000000000,,2U
Happy Cleaners 2U,10401608,happycleanersplymouth.co.uk,100000000000000,,2U
